cosine_score,mass_difference,node1,node2
0.8826,-44.026,6644_pos,6770_pos
0.8768,0,4335_pos,6075_pos
0.8968,0,4335_pos,5144_pos
1,0,29100_pos,29100_pos
0.8453,-88.052,14327_pos,35910_pos
1,0,35024_pos,35024_pos
0.8323,-14.016,10448_pos,12730_pos
0.8771,15.995,9774_pos,12730_pos
0.9329,-0.003,12730_pos,17225_pos
0.9656,0,12730_pos,14180_pos
0.976,-44.026,6668_pos,8038_pos
0.9722,-88.053,4642_pos,8038_pos
0.955,-132.079,8038_pos,12820_pos
0.9401,-149.105,4213_pos,8038_pos
0.9276,-176.105,8038_pos,11162_pos
0.9613,-44.026,7972_pos,8038_pos
0.9566,-44.026,8038_pos,9710_pos
0.9425,-88.053,6589_pos,8038_pos
0.9615,-88.053,8038_pos,9617_pos
0.9563,-44.026,8038_pos,8222_pos
1,0,45104_pos,45104_pos
0.928,0,12836_pos,15641_pos
0.7959,0.036,32187_pos,33720_pos
0.9014,0.036,32187_pos,32216_pos
1,0,26009_pos,26009_pos
1,0,47725_pos,47725_pos
1,0,8083_pos,8083_pos
0.9753,-61.053,13547_pos,14763_pos
0.9771,-44.026,11999_pos,13547_pos
0.9774,-132.079,9753_pos,13547_pos
0.9749,44.026,13547_pos,14397_pos
0.9811,-44.026,13547_pos,14167_pos
0.9798,-88.053,10903_pos,13547_pos
0.9762,-149.105,13547_pos,17586_pos
0.977,-17.027,13547_pos,15339_pos
0.9238,0.036,2458_pos,2692_pos
1,0,23982_pos,23982_pos
0.897,-58.99,27984_pos,34178_pos
1,0,17081_pos,17081_pos
0.7802,-28.031,848_pos,991_pos
0.7815,-26.016,991_pos,2337_pos
0.7875,-66.047,991_pos,6693_pos
1,0,42569_pos,42569_pos
0.9553,-44.026,41445_pos,43306_pos
0.9321,-282.144,28156_pos,43306_pos
0.9286,-12,41392_pos,43306_pos
0.9053,62.037,41034_pos,43306_pos
0.9168,-44.026,36116_pos,43306_pos
0.8981,-14.016,39659_pos,43306_pos
0.9336,32.026,43269_pos,43306_pos
0.9498,-252.133,31906_pos,43306_pos
0.8938,-314.17,28190_pos,43306_pos
0.9031,0,13927_pos,16004_pos
0.9429,0.036,15925_pos,16004_pos
0.8918,0.036,13297_pos,16004_pos
0.7931,44.026,46244_pos,46981_pos
0.8281,-42.047,46244_pos,50543_pos
0.8019,0,46244_pos,47376_pos
0.8008,0,15264_pos,17319_pos
0.9016,-14.016,40556_pos,45837_pos
0.9166,0,25429_pos,40556_pos
0.9188,0,40556_pos,41121_pos
0.9088,0,40556_pos,42029_pos
0.8474,0.003,3559_pos,4234_pos
0.7658,-14.016,3559_pos,37986_pos
1,0,4647_pos,4647_pos
0.9619,-0.003,1571_pos,2160_pos
1,0,22468_pos,22468_pos
1,0,16298_pos,16298_pos
0.9528,-44.025,49981_pos,50505_pos
0.9549,88.054,49414_pos,50505_pos
0.9563,-132.078,50066_pos,50505_pos
0.9645,-88.051,48900_pos,50505_pos
0.9427,0,22142_pos,23503_pos
0.9506,0,22142_pos,27058_pos
0.9279,0,20733_pos,22142_pos
0.9325,0,22142_pos,34924_pos
0.9444,0,22142_pos,28889_pos
0.9326,0,22142_pos,30778_pos
1,0,9139_pos,9139_pos
1,0,15442_pos,15442_pos
0.8785,0,18070_pos,22540_pos
0.8602,0.036,17482_pos,22540_pos
1,0,45847_pos,45847_pos
0.9196,0,38477_pos,43355_pos
0.9029,0,30139_pos,43355_pos
1,0,23841_pos,23841_pos
0.8436,-44.026,46981_pos,47376_pos
0.8703,-56.062,47376_pos,51266_pos
0.9075,-42.047,47376_pos,50543_pos
0.9628,44.026,49171_pos,49285_pos
0.966,176.105,49171_pos,49605_pos
0.9682,88.052,49171_pos,49422_pos
0.9693,0,673_pos,940_pos
0.93,18.011,673_pos,678_pos
0.9386,18.011,673_pos,941_pos
0.9026,0,39190_pos,43927_pos
0.9452,0.001,6187_pos,7202_pos
0.9388,-44.025,5607_pos,7202_pos
0.9635,0,40191_pos,41556_pos
1,0,26573_pos,26573_pos
1,0,48904_pos,48904_pos
0.9498,-44.027,31121_pos,32289_pos
0.9445,-88.053,31644_pos,32289_pos
0.9389,18.058,31180_pos,32289_pos
0.9552,-44.026,32289_pos,32560_pos
0.9565,88.053,32014_pos,32289_pos
1,0,4719_pos,4719_pos
1,0,43915_pos,43915_pos
0.9197,18.011,34831_pos,40310_pos
0.9508,0,27812_pos,34866_pos
0.9386,0,19187_pos,34866_pos
0.9321,0.036,34866_pos,39493_pos
0.9373,0,32174_pos,34866_pos
0.9407,0,25071_pos,34866_pos
0.9671,-0.036,33179_pos,34866_pos
0.9294,0,16741_pos,34866_pos
0.9206,-14.016,19252_pos,34866_pos
0.9461,0,21541_pos,34866_pos
0.7238,-0.001,26295_pos,30276_pos
1,0,51829_pos,51829_pos
0.9584,1.031,30782_pos,31157_pos
0.8255,19.969,41065_pos,44713_pos
0.9117,-52.031,41065_pos,43846_pos
0.8968,-26.016,41065_pos,42625_pos
0.7948,2.016,38063_pos,42622_pos
1,0,35923_pos,35923_pos
1,0,7745_pos,7745_pos
0.9448,0,45780_pos,54929_pos
1,0,14097_pos,14097_pos
0.9029,0,53522_pos,54899_pos
0.9185,0,50953_pos,53522_pos
0.9207,0,53522_pos,53826_pos
0.8481,-0.025,17309_pos,28322_pos
0.8453,-18.011,28322_pos,35514_pos
0.8613,46.005,28322_pos,28857_pos
0.9673,-0.004,9042_pos,13606_pos
0.9747,-14.019,9042_pos,18516_pos
0.9754,-0.003,9042_pos,11451_pos
0.9789,-0.004,9042_pos,10339_pos
0.9828,-0.004,9042_pos,17174_pos
0.9653,0.004,47_pos,9042_pos
1,0,16057_pos,16057_pos
0.8033,-1.097,12134_pos,12311_pos
0.8872,-14.016,1312_pos,1494_pos
0.9936,-44.026,8099_pos,11398_pos
0.9925,-44.036,7182_pos,11398_pos
0.9883,17.033,11341_pos,11398_pos
0.9846,-44.026,10339_pos,11398_pos
0.9859,-14.023,5811_pos,11398_pos
0.9918,-44.031,7316_pos,11398_pos
0.9918,-44.022,7129_pos,11398_pos
0.9929,-44.034,8041_pos,11398_pos
